Fecha,NRO CP/CTG,Producto,Cosecha,Kg Entregados
17/09/2025,10126525579,SOJA,2425,30970
17/09/2025,10126525407,SOJA,2425,30228
12/09/2025,10126444014,SOJA,2425,29320
09/09/2025,10126379121,SOJA,2425,30920
09/09/2025,10126379033,SOJA,2425,30040
09/09/2025,10126378951,SOJA,2425,30190
09/09/2025,10126378878,SOJA,2425,29948
26/08/2025,10126127948,SOJA,2425,30360
23/08/2025,10126100175,SOJA,2425,32170
23/08/2025,10126100423,SOJA,2425,31310
23/08/2025,10126100346,SOJA,2425,30710
23/08/2025,10126100269,SOJA,2425,31840
23/08/2025,10126100101,SOJA,2425,32040
23/08/2025,10126100023,SOJA,2425,31260
22/08/2025,10126095908,SOJA,2425,30040
21/08/2025,10126064135,SOJA,2425,30220
19/08/2025,10126042377,SOJA,2425,31710
12/08/2025,10125847222,SOJA,2425,28950
12/08/2025,10125847175,SOJA,2425,30100
11/08/2025,10125812506,SOJA,2425,28680
11/08/2025,10125812470,SOJA,2425,29610
11/08/2025,10125810822,SOJA,2425,30890
11/08/2025,10125810728,SOJA,2425,30780
08/08/2025,10125807554,SOJA,2425,38650
08/08/2025,10125805209,SOJA,2425,29240
08/08/2025,10125799968,SOJA,2425,31130
08/08/2025,10125799890,SOJA,2425,32450
08/08/2025,10125799837,SOJA,2425,30980
08/08/2025,10125800153,SOJA,2425,30770
08/08/2025,10125800105,SOJA,2425,31220
08/08/2025,10125782723,SOJA,2425,29930
07/08/2025,10125782788,SOJA,2425,29880
05/08/2025,10125707883,SOJA,2425,31000
04/08/2025,10125685626,SOJA,2425,28640
04/08/2025,10125685484,SOJA,2425,30450
02/08/2025,10125677610,SOJA,2425,22860
02/08/2025,10125677182,SOJA,2425,21140
01/08/2025,10125660227,SOJA,2425,30560
01/08/2025,10125660099,SOJA,2425,29180
22/07/2025,10125459196,SOJA,2425,33930
22/07/2025,10125451133,SOJA,2425,32790
22/07/2025,10125451040,SOJA,2425,30770
22/07/2025,10125450935,SOJA,2425,29990
22/07/2025,10125450820,SOJA,2425,30620
05/07/2025,10125121659,SOJA,2425,36160
05/07/2025,10125146665,SOJA,2425,30190
04/07/2025,10125092938,SOJA,2425,30400
04/07/2025,10125087707,SOJA,2425,30070
04/07/2025,10125119760,SOJA,2425,31890
04/07/2025,10125119637,SOJA,2425,29810
03/07/2025,10125087843,SOJA,2425,30680
03/07/2025,10125087570,SOJA,2425,31110
03/07/2025,10125087509,SOJA,2425,30750
30/06/2025,10124904099,SOJA,2425,29440
28/06/2025,10124954302,SOJA,2425,33620
27/06/2025,10124904916,SOJA,2425,30920
27/06/2025,10124904702,SOJA,2425,29180
27/06/2025,10124904529,SOJA,2425,29140
27/06/2025,10124904336,SOJA,2425,28930
27/06/2025,10124903923,SOJA,2425,30100
27/06/2025,10124904792,SOJA,2425,30110
27/06/2025,10124904239,SOJA,2425,29960
24/06/2025,10124811900,SOJA,2425,29242
24/06/2025,10124811837,SOJA,2425,29340
23/06/2025,10224733300,SOJA,2425,28680
20/06/2025,10124752651,SOJA,2425,30164
20/06/2025,10124726794,SOJA,2425,29990
20/06/2025,10124738921,SOJA,2425,30620
20/06/2025,10124726671,SOJA,2425,28769
20/06/2025,10124726616,SOJA,2425,28896
20/06/2025,10124720384,SOJA,2425,30570
20/06/2025,10124716096,SOJA,2425,30580
20/06/2025,10124716008,SOJA,2425,30980
20/06/2025,10124715917,SOJA,2425,28840
20/06/2025,10124709648,SOJA,2425,36120
