Documento;Fecha;Doc.-nro. interno;Establecimiento;Labor;Descripción;Fechaejecucion
Orden de Trabajo;2025-08-01;OT - 3409;ANAHATA;Desmalezado Algodón;MEDIR SUPERCIE EFECTIVAMENTE DESMALEZADA EN EL LOTE 4;2025-08-01
Orden de Trabajo;2025-08-11;OT - 3410;ANAHATA;Pulverización Terrestre;;2025-08-11
Orden de Trabajo;2025-08-11;OT - 3411;ANAHATA;Pulverización Terrestre;;2025-08-11
Orden de Trabajo;2025-08-27;OT - 3412;ANAHATA;Rastra;MEDIR EFECTIVAMENTE SUPERFICIE TRABAJADA;2025-08-27
Orden de Trabajo;2025-08-23;OT - 3413;ANAHATA;Siembra De Grano Grueso Con Fertilización;;2025-08-23
Orden de Trabajo;2025-09-09;OT - 3426;ANAHATA;Siembra De Grano Grueso Con Fertilización;;2025-09-09
Orden de Trabajo;2025-09-01;OT - 3427;ANAHATA;Pulverización Terrestre;PARAQUAT APLICADO EN 400HAS SOLAMENTE 2LT/HA, AJUSTAR CONSUMO FINAL INSUMO;2025-09-01
Orden de Trabajo;2025-09-09;OT - 3428;ANAHATA;Siembra De Grano Grueso Con Fertilización;;2025-09-09
Orden de Trabajo;2025-02-25;OT - 3278;CLEVELAND - INTI;Pulverización Terrestre;;2025-02-25
Orden de Trabajo;2025-02-25;OT - 3279;CLEVELAND - INTI;Pulverización Terrestre;;2025-02-25
Orden de Trabajo;2025-02-25;OT - 3280;CLEVELAND - INTI;Pulverización Terrestre;;2025-02-25
Orden de Trabajo;2025-03-03;OT - 3313;CLEVELAND - INTI;Pulverización Terrestre;;2025-03-03
Orden de Trabajo;2025-03-03;OT - 3314;CLEVELAND - INTI;Pulverización Terrestre;;2025-03-03
Orden de Trabajo;2025-03-03;OT - 3315;CLEVELAND - INTI;Pulverización Terrestre;;2025-03-03
Orden de Trabajo;2025-03-25;OT - 3319;CLEVELAND - INTI;Pulverización Terrestre;;2025-03-25
Orden de Trabajo;2025-03-25;OT - 3320;CLEVELAND - INTI;Pulverización Terrestre;;2025-03-25
Orden de Trabajo;2025-03-25;OT - 3321;CLEVELAND - INTI;Pulverización Terrestre;;2025-03-25
Orden de Trabajo;2025-05-01;OT - 3363;CLEVELAND - INTI;Pulverización Terrestre;USAR ROZZAR EN ESTOS LOTES;2025-05-01
Orden de Trabajo;2025-05-01;OT - 3364;CLEVELAND - INTI;Pulverización Terrestre;USAR ROZZAR EN ESTOS LOTES;2025-05-01
Orden de Trabajo;2025-05-01;OT - 3365;CLEVELAND - INTI;Pulverización Terrestre;USAR ROZZAR EN ESTOS LOTES;2025-05-01
Orden de Trabajo;2025-08-13;OT - 3401;CLEVELAND - INTI;Rolo;;2025-08-13
Orden de Trabajo;2025-08-25;OT - 3417;CLEVELAND - INTI;Pulverización Terrestre;;2025-08-25
Orden de Trabajo;2024-05-22;OT - 2674;EST. GUTEMBERG-INTI;Pulverización Terrestre;;2024-05-22
Orden de Trabajo;2024-05-22;OT - 2675;EST. GUTEMBERG-INTI;Pulverización Terrestre;;2024-05-22
Orden de Trabajo;2024-05-22;OT - 2676;EST. GUTEMBERG-INTI;Pulverización Terrestre;;2024-05-22
Orden de Trabajo;2024-05-22;OT - 2677;EST. GUTEMBERG-INTI;Pulverización Terrestre;;2024-05-22
Orden de Trabajo;2024-05-22;OT - 2678;EST. GUTEMBERG-INTI;Pulverización Terrestre;;2024-05-22
Orden de Trabajo;2024-05-28;OT - 2686;EST. GUTEMBERG-INTI;Siembra De Grano Fino Con Fertilización;;2024-05-28
Orden de Trabajo;2024-05-28;OT - 2687;EST. GUTEMBERG-INTI;Siembra De Grano Fino Con Fertilización;;2024-05-28
Orden de Trabajo;2024-05-28;OT - 2688;EST. GUTEMBERG-INTI;Siembra De Grano Fino Con Fertilización;;2024-05-28
Orden de Trabajo;2024-05-28;OT - 2690;EST. GUTEMBERG-INTI;Siembra De Grano Fino Con Fertilización;;2024-05-28
Orden de Trabajo;2024-05-28;OT - 2691;EST. GUTEMBERG-INTI;Siembra De Grano Fino Con Fertilización;;2024-05-28
Orden de Trabajo;2024-08-19;OT - 2726;EST. GUTEMBERG-INTI;Pulverización Terrestre;;2024-08-19
Orden de Trabajo;2024-08-19;OT - 2727;EST. GUTEMBERG-INTI;Pulverización Terrestre;;2024-08-19
Orden de Trabajo;2024-08-19;OT - 2728;EST. GUTEMBERG-INTI;Pulverización Terrestre;;2024-08-19
Orden de Trabajo;2024-08-19;OT - 2729;EST. GUTEMBERG-INTI;Pulverización Terrestre;;2024-08-19
