ID_Localidad,Provincia,Departamento,Localidad
1,Buenos Aires,25 de Mayo,25 de Mayo
2,Buenos Aires,Florentino Ameghino,3 de febrero
3,Buenos Aires,Florentino Ameghino,A. Alsina
4,Buenos Aires,Florentino Ameghino,A. Gonzáles Cháves
5,Buenos Aires,Florentino Ameghino,Aguas Verdes
6,Buenos Aires,Alberti,Alberti
7,Buenos Aires,Arrecifes,Arrecifes
8,Buenos Aires,Ayacucho,Ayacucho
9,Buenos Aires,Azul,Azul
10,Buenos Aires,Bahía Blanca,Bahía Blanca
11,Buenos Aires,Balcarce,Balcarce
12,Buenos Aires,Baradero,Baradero
13,Buenos Aires,Benito Juárez,Benito Juárez
14,Buenos Aires,Florentino Ameghino,Berisso
15,Buenos Aires,Bolívar,Bolívar
16,Buenos Aires,Bragado,Bragado
17,Buenos Aires,Brandsen,Brandsen
18,Buenos Aires,Campana,Campana
19,Buenos Aires,Cañuelas,Cañuelas
20,Buenos Aires,Florentino Ameghino,Capilla del Señor
21,Buenos Aires,Capitán Sarmiento,Capitán Sarmiento
22,Buenos Aires,Florentino Ameghino,Carapachay
23,Buenos Aires,Florentino Ameghino,Carhue
24,Buenos Aires,Florentino Ameghino,Cariló
25,Buenos Aires,Carlos Casares,Carlos Casares
26,Buenos Aires,Carlos Tejedor,Carlos Tejedor
27,Buenos Aires,Carmen de Areco,Carmen de Areco
28,Buenos Aires,Patagones,Carmen de Patagones
29,Buenos Aires,Castelli,Castelli
30,Buenos Aires,Chacabuco,Chacabuco
31,Buenos Aires,Chascomús,Chascomús
32,Buenos Aires,Chivilcoy,Chivilcoy
33,Buenos Aires,Colón,Colón
34,Buenos Aires,Coronel Dorrego,Coronel Dorrego
35,Buenos Aires,Coronel Pringles,Coronel Pringles
36,Buenos Aires,Florentino Ameghino,Coronel Rosales
37,Buenos Aires,Florentino Ameghino,Coronel Suarez
38,Buenos Aires,Azul,Costa Azul
39,Buenos Aires,Florentino Ameghino,Costa Chica
40,Buenos Aires,Florentino Ameghino,Costa del Este
41,Buenos Aires,Florentino Ameghino,Costa Esmeralda
42,Buenos Aires,Daireaux,Daireaux
43,Buenos Aires,Florentino Ameghino,Darregueira
44,Buenos Aires,Florentino Ameghino,Del Viso
45,Buenos Aires,Dolores,Dolores
46,Buenos Aires,Florentino Ameghino,Don Torcuato
47,Buenos Aires,Florentino Ameghino,Ensenada
48,Buenos Aires,Escobar,Escobar
49,Buenos Aires,Exaltación de la Cruz,Exaltación de la Cruz
50,Buenos Aires,Florentino Ameghino,Florentino Ameghino
51,Buenos Aires,Florentino Ameghino,Garín
